STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,TAVG
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/1/2015,0.5,0,0,65,47,47,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/2/2015,0.48,0,0,54,38,41,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/3/2015,0,0,0,63,34,37,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/4/2015,0.01,0,0,65,36,49,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/5/2015,0,0,0,55,37,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/6/2015,0,0,0,63,37,39,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/7/2015,0,0,0,68,39,41,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/8/2015,0,0,0,71,41,45,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/9/2015,0,0,0,74,43,47,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/10/2015,0,0,0,76,40,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/11/2015,0,0,0,75,40,41,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/12/2015,0,0,0,71,41,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/13/2015,0,0,0,71,40,42,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/14/2015,0,0,0,76,41,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/15/2015,0,0,0,73,43,45,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/16/2015,0,0,0,71,45,48,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/17/2015,0.44,0,0,66,45,48,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/18/2015,0.67,0,0,51,39,39,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/19/2015,0,0,0,57,29,32,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/20/2015,0,0,0,56,32,45,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/21/2015,0,0,0,55,35,36,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/22/2015,0,0,0,56,33,35,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/23/2015,0,0,0,60,31,33,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/24/2015,0,0,0,62,31,34,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/25/2015,0,0,0,63,33,36,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/26/2015,0,0,0,63,30,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/27/2015,0,0,0,66,30,40,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/28/2015,0,0,0,58,39,42,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/29/2015,0.12,0,0,54,29,32,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/30/2015,0,0,0,52,28,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,10/31/2015,0,0,0,61,29,35,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/1/2015,0,0,0,67,33,55,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/2/2015,0.98,0,0,57,32,34,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/3/2015,0.56,1,1,35,29,31,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/4/2015,0,0,1,37,22,25,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/5/2015,0,0,0,35,19,27,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/6/2015,0,0,0,43,22,27,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/7/2015,0,0,0,47,25,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/8/2015,0,0,0,52,27,43,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/9/2015,0.08,1,1,54,25,29,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/10/2015,0.05,0.5,0,37,23,29,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/11/2015,0,0,0,39,17,24,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/12/2015,0,0,0,45,21,27,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/13/2015,0,0,0,49,22,29,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/14/2015,0,0,0,51,27,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/15/2015,0,0,0,58,30,36,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/16/2015,0.17,1.5,1,38,17,23,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/17/2015,0,0,1,32,17,20,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/18/2015,0,0,0,45,20,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/19/2015,0,0,0,53,25,30,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/20/2015,0,0,0,56,28,31,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/21/2015,0,0,0,52,28,32,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/22/2015,0,0,0,62,27,32,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/23/2015,0,0,0,51,29,35,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/24/2015,0,0,0,54,28,28,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/25/2015,0.58,6,6,32,17,20,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/26/2015,0.03,0.5,6,27,11,22,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/27/2015,0,0,6,25,19,20,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/28/2015,0,0,5,26,7,9,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/29/2015,0,0,5,30,6,10,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,11/30/2015,0,0,4,37,10,14,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/1/2015,0,0,4,41,13,23,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/2/2015,0,0,4,44,22,33,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/3/2015,0,0,3,50,32,45,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/4/2015,0.34,4,7,45,27,28,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/5/2015,0,0,6,38,17,20,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/6/2015,0,0,5,45,19,32,
USC00048758,"TAHOE CITY, CA US",39.1678,-120.1428,1898.9,12/7/2015,0,0,3,50,32,40,
